YEAR,STATE,SMOKE_EVERYDAY,SMOKE_SOME_DAYS,FORMER_SMOKER,NEVER_SMOKED,LOCATION_1
1996,Puerto Rico,0.094,0.051,0.16,0.695,"Puerto Rico
"
1997,Puerto Rico,0.094,0.05,0.157,0.6990000000000001,"Puerto Rico
"
1998,Puerto Rico,0.10099999999999999,0.052000000000000005,0.168,0.679,"Puerto Rico
"
1999,Puerto Rico,0.09699999999999999,0.04,0.153,0.71,"Puerto Rico
"
2000,Puerto Rico,0.092,0.039,0.152,0.716,"Puerto Rico
"
2001,Puerto Rico,0.08,0.045,0.17,0.705,"Puerto Rico
"
2001,Virgin Islands,0.069,0.027000000000000003,0.126,0.778,"Virgin Islands
"
2002,Puerto Rico,0.08800000000000001,0.044000000000000004,0.16899999999999998,0.698,"Puerto Rico
"
2002,Virgin Islands,0.07,0.024,0.121,0.785,"Virgin Islands
"
2003,Puerto Rico,0.08900000000000001,0.046,0.177,0.688,"Puerto Rico
"
2003,Virgin Islands,0.079,0.02,0.136,0.764,"Virgin Islands
"
2004,Puerto Rico,0.08199999999999999,0.044000000000000004,0.152,0.722,"Puerto Rico
"
2004,Virgin Islands,0.059000000000000004,0.035,0.099,0.807,"Virgin Islands
"
2005,Puerto Rico,0.079,0.052000000000000005,0.16899999999999998,0.7,"Puerto Rico
"
2005,Virgin Islands,0.053,0.027999999999999997,0.128,0.7909999999999999,"Virgin Islands
"
2006,Puerto Rico,0.077,0.048,0.168,0.7070000000000001,"Puerto Rico
"
2006,Virgin Islands,0.057999999999999996,0.031,0.131,0.78,"Virgin Islands
"
2007,Puerto Rico,0.075,0.047,0.192,0.6859999999999999,"Puerto Rico
"
2007,Virgin Islands,0.055999999999999994,0.03,0.11900000000000001,0.795,"Virgin Islands
"
2008,Puerto Rico,0.075,0.040999999999999995,0.183,0.701,"Puerto Rico
"
2008,Virgin Islands,0.040999999999999995,0.023,0.115,0.821,"Virgin Islands
"
2009,Puerto Rico,0.069,0.037000000000000005,0.18,0.715,"Puerto Rico
"
2010,Puerto Rico,0.075,0.044000000000000004,0.17300000000000001,0.708,"Puerto Rico
"
1999,Louisiana,0.187,0.048,0.207,0.5579999999999999,"Louisiana
(31.31265999975932, -92.44567999993188)"
2010,Nevada,0.165,0.049,0.258,0.528,"Nevada
(39.49323999972637, -117.07183999971608)"
1996,Nebraska,0.195,0.026000000000000002,0.23600000000000002,0.5429999999999999,"Nebraska
(41.6410400000961, -99.36572999973953)"
2003,Vermont,0.154,0.042,0.304,0.501,"Vermont
(43.625379999687425, -72.51764000028561)"
2001,Tennessee,0.19699999999999998,0.047,0.191,0.5660000000000001,"Tennessee
(35.68094000038087, -85.77449000011325)"
2008,Guam,0.212,0.062,0.19399999999999998,0.532,NA
2007,Guam,0.233,0.076,0.141,0.5489999999999999,NA
2003,Guam,0.263,0.078,0.14300000000000002,0.517,NA
2002,Guam,0.248,0.071,0.155,0.526,NA
2001,Guam,0.265,0.047,0.11800000000000001,0.57,NA
2003,Delaware,0.16899999999999998,0.05,0.281,0.5,"Delaware
(39.00883000020451, -75.57774000040052)"
1998,Vermont,0.18600000000000003,0.037000000000000005,0.28600000000000003,0.491,"Vermont
(43.625379999687425, -72.51764000028561)"
2006,Oklahoma,0.18899999999999997,0.062,0.237,0.512,"Oklahoma
(35.4720099999617, -97.52034999975251)"
2004,Washington,0.14,0.053,0.253,0.555,"Washington
(47.522280000022135, -120.47001000026114)"
1998,New York,0.184,0.057,0.243,0.516,"New York
(42.82699999955048, -75.54396999981549)"
2005,South Dakota,0.138,0.06,0.254,0.5479999999999999,"South Dakota
(44.353130000049646, -100.37353000040906)"
1999,Illinois,0.198,0.045,0.23800000000000002,0.519,"Illinois
(40.485010000411364, -88.99770999971656)"
1997,Indiana,0.217,0.047,0.235,0.502,"Indiana
(39.76690999989677, -86.14996000035359)"
2000,Illinois,0.162,0.062,0.226,0.551,"Illinois
(40.485010000411364, -88.99770999971656)"
2006,Connecticut,0.11900000000000001,0.051,0.282,0.5479999999999999,"Connecticut
(41.56265999995918, -72.6498400002157)"
2005,Montana,0.145,0.047,0.285,0.523,"Montana
(47.06653000015956, -109.42441999998289)"
2002,Missouri,0.22,0.045,0.255,0.48,"Missouri
(38.63578999960896, -92.5663000000448)"
2002,Nevada,0.21100000000000002,0.05,0.247,0.49200000000000005,"Nevada
(39.49323999972637, -117.07183999971608)"
